QID,label,from,starting label,target,depth
Q18388277,technology company,Q38076,McDonald’s,0,2
Q936518,aerospace manufacturer,Q38076,McDonald’s,0,2
Q771063,dating agency,Q38076,McDonald’s,0,2
Q20488450,mobile phone series,Q38076,McDonald’s,0,2
Q11294827,camera manufacturer,Q38076,McDonald’s,0,2
Q1266169,telephone company,Q38076,McDonald’s,0,2
Q5346803,social business,Q38076,McDonald’s,0,2
Q4387609,architectural firm,Q38076,McDonald’s,0,2
Q27038993,food establishment,Q38076,McDonald’s,1,2
Q2538889,weapons manufacturing company,Q38076,McDonald’s,0,2
Q2442401,record company,Q38076,McDonald’s,0,2
Q1132207,business incubator,Q38076,McDonald’s,0,2
Q19644607,pharmaceutical company,Q38076,McDonald’s,0,2
Q55635949,tobacco factory,Q38076,McDonald’s,0,2
Q1058914,software company,Q38076,McDonald’s,0,2
Q22687,bank,Q38076,McDonald’s,0,2
Q811404,Bauhof,Q38076,McDonald’s,0,2
Q786820,automobile manufacturer,Q38076,McDonald’s,0,2
Q1200676,design agency,Q38076,McDonald’s,0,2
Q1341478,energy company,Q38076,McDonald’s,0,2
Q14635346,multi-channel network,Q38076,McDonald’s,0,2
Q30765558,cement company,Q38076,McDonald’s,0,2
Q1520069,bottling company,Q38076,McDonald’s,0,2
Q25461160,syndicate,Q38076,McDonald’s,0,2
Q11032,newspaper,Q38076,McDonald’s,0,2
Q476118,reinsurance,Q38076,McDonald’s,0,2
Q946499,cruise line,Q38076,McDonald’s,0,2
Q613142,law firm,Q38076,McDonald’s,0,2
Q5465569,Foodservice distributor,Q38076,McDonald’s,1,2
Q3063988,Made in France,Q38076,McDonald’s,0,2
Q3661311,fashion house,Q38076,McDonald’s,0,2
Q45069022,skateboarding company,Q38076,McDonald’s,0,2
Q20015305,large business,Q38076,McDonald’s,1,2
Q765517,credit rating agency,Q38076,McDonald’s,0,2
Q56876011,private corporation,Q38076,McDonald’s,1,2
Q1331793,media company,Q38076,McDonald’s,0,2
Q2085381,publisher,Q38076,McDonald’s,0,2
Q25112142,dental service organization,Q38076,McDonald’s,0,2
Q30899001,software distributor,Q38076,McDonald’s,0,2
Q10691563,taxicab company,Q38076,McDonald’s,0,2
Q1406985,transmission system operator for gas,Q38076,McDonald’s,0,2
Q1529128,postal service,Q38076,McDonald’s,0,2
Q60770436,Deep tech,Q38076,McDonald’s,0,2
Q770881,online casino,Q38076,McDonald’s,0,2
Q8007048,nail salon,Q38076,McDonald’s,0,2
Q1466031,funeral home,Q38076,McDonald’s,0,2
Q2914704,advertising network,Q38076,McDonald’s,0,2
Q7246213,private intelligence agency,Q38076,McDonald’s,0,2
Q27555350,entreprise de génie civil,Q38076,McDonald’s,0,2
Q16274795,shipbuilding company,Q38076,McDonald’s,0,2
Q1137109,video game publisher,Q38076,McDonald’s,0,2
Q5384579,Equipment rental,Q38076,McDonald’s,0,2
Q5466628,for-profit corporation,Q38076,McDonald’s,1,2
Q3117865,hotel group,Q38076,McDonald’s,0,2
Q4116756,Tourism in Saudi Arabia,Q38076,McDonald’s,0,2
Q19509097,cigarette brand,Q38076,McDonald’s,0,2
Q1917775,music publishing company,Q38076,McDonald’s,0,2
Q30103124,hospital group,Q38076,McDonald’s,0,2
Q23670565,professional services firm,Q38076,McDonald’s,0,2
Q748645,shipping agent,Q38076,McDonald’s,0,2
Q1757263,moving company,Q38076,McDonald’s,0,2
Q1318768,snack bar,Q38076,McDonald’s,1,2
Q3393867,seafood market,Q38076,McDonald’s,0,2
Q920671,parapharmacy,Q38076,McDonald’s,0,2
Q14942280,petrochemical company,Q38076,McDonald’s,0,2
Q3579160,newspaper publisher,Q38076,McDonald’s,0,2
Q1817883,furniture manufacturer,Q38076,McDonald’s,0,2
Q3842318,Made in Italy,Q38076,McDonald’s,0,2
Q2990216,mining company,Q38076,McDonald’s,0,2
Q1116826,private security company,Q38076,McDonald’s,0,2
Q507443,pharmaceutical industry,Q38076,McDonald’s,0,2
Q29885033,cosmetics manufacturer,Q38076,McDonald’s,0,2
Q1057214,private military company,Q38076,McDonald’s,0,2
Q3487908,venture capital firm,Q38076,McDonald’s,0,2
Q811930,construction business,Q38076,McDonald’s,0,2
Q7257732,public electricity supplier,Q38076,McDonald’s,0,2
Q15634581,design company,Q38076,McDonald’s,0,2
Q133744,tour operator,Q38076,McDonald’s,0,2
Q3537883,Transporteur routier,Q38076,McDonald’s,0,2
Q1195245,beauty salon,Q38076,McDonald’s,0,2
Q2534781,event management company,Q38076,McDonald’s,0,2
Q18127,record label,Q38076,McDonald’s,0,2
Q2961813,local TV channel,Q38076,McDonald’s,0,2
Q291240,car rental company,Q38076,McDonald’s,0,2
Q11885129,artist agency,Q38076,McDonald’s,0,2
Q721067,professional wrestling promotion,Q38076,McDonald’s,0,2
Q2401749,telecommunication company,Q38076,McDonald’s,0,2
Q2519914,brand name,Q38076,McDonald’s,1,2
Q967140,media agency,Q38076,McDonald’s,0,2
Q12817454,agricultural firm,Q38076,McDonald’s,0,2
Q13419255,hypertext encyclopedia,Q231136,Encarta,1,1
Q7397,software,Q231136,Encarta,1,1
Q891723,public company,Q2283,Microsoft,1,1
Q1058914,software company,Q2283,Microsoft,1,1
Q4830453,business,Q2283,Microsoft,1,1
Q18388277,technology company,Q2283,Microsoft,1,1
Q13637823,Independent hardware vendor,Q2283,Microsoft,1,2
Q5535478,geometric combinatorics,Q76592,combinatorics,1,1
Q5422299,extremal combinatorics,Q76592,combinatorics,1,1
Q3532114,combinatorial topology,Q76592,combinatorics,1,1
Q6029708,Infinitary combinatorics,Q76592,combinatorics,1,1
Q336787,enumerative combinatorics,Q76592,combinatorics,1,1
Q1936384,area of mathematics,Q76592,combinatorics,1,1
Q56313053,Additive combinatorics,Q76592,combinatorics,1,1
Q2985062,analytic combinatorics,Q76592,combinatorics,1,1
Q1005603,algebraic combinatorics,Q76592,combinatorics,1,1
Q15773347,film character,Q51746,Luke Skywalker,1,1
Q22074477,cyborg in a work of fiction,Q51746,Luke Skywalker,1,1
Q15632617,fictional human,Q51746,Luke Skywalker,1,1
Q33125444,character from Star Wars,Q51746,Luke Skywalker,1,1
Q11334882,Pokémon Professor,Q51746,Luke Skywalker,0,2
Q5199354,Cylon,Q51746,Luke Skywalker,0,2
Q220652,Borg,Q51746,Luke Skywalker,0,2
Q930062,Toa,Q51746,Luke Skywalker,0,2
Q853715,Dalek,Q51746,Luke Skywalker,0,2
Q3008212,Cyberman,Q51746,Luke Skywalker,0,2
Q2351172,Evangelion,Q51746,Luke Skywalker,0,2
Q2265657,Phalanx,Q51746,Luke Skywalker,0,2
Q5769360,Cimek,Q51746,Luke Skywalker,0,2
Q82794,geographic region,Q2,Earth,1,1
Q3504248,inner planet of the Solar System,Q2,Earth,1,1
Q128207,terrestrial planet,Q2,Earth,1,1
Q1140140,mainland,Q2,Earth,0,2
Q947362,zone de protection paysagère de Sopron,Q2,Earth,0,2
Q2670101,Earth analog,Q2,Earth,1,2
Q327757,super-Earth,Q2,Earth,1,2
Q15129745,sub-Earth,Q2,Earth,1,2
Q10535394,informal region,Q2,Earth,0,2
Q1200957,tourist destination,Q2,Earth,0,2
Q198782,tropical cyclone basin,Q2,Earth,0,2
Q7925010,vice-county,Q2,Earth,0,2
Q486972,human settlement,Q2,Earth,1,2
Q399984,hemisphere of the Earth,Q2,Earth,1,2
Q205895,landmass,Q2,Earth,1,2
Q6881511,enterprise,Q312,Apple Inc.,1,1
Q167037,corporation,Q312,Apple Inc.,1,1
Q431289,brand,Q312,Apple Inc.,1,1
Q891723,public company,Q312,Apple Inc.,1,1
Q4830453,business,Q312,Apple Inc.,1,1
Q18388277,technology company,Q312,Apple Inc.,1,1
Q1058914,software company,Q312,Apple Inc.,1,2
Q13637823,Independent hardware vendor,Q312,Apple Inc.,1,2
Q620615,mobile app,Q209330,Instagram,1,1
Q3220391,social networking service,Q209330,Instagram,1,1
Q2721136,image hosting service,Q209330,Instagram,1,1
Q35127,website,Q209330,Instagram,1,1
Q559856,online video platform,Q209330,Instagram,1,1
Q60784896,Internet audio-visual programming service provider,Q209330,Instagram,0,2
Q147538,soft drink,Q2813,Coca-Cola,1,1
Q41084,New Coke,Q2813,Coca-Cola,1,1
Q134041,cola,Q2813,Coca-Cola,1,1
Q431289,brand,Q2813,Coca-Cola,1,1
Q264554,carbonated water,Q2813,Coca-Cola,1,2
Q896,Mountain Dew,Q2813,Coca-Cola,1,2
Q2300409,Premium-Cola,Q2813,Coca-Cola,1,2
Q50425277,diet cola,Q2813,Coca-Cola,1,2
Q623561,Dr Pepper,Q2813,Coca-Cola,1,2
Q12311058,Fanta Free Orange,Q2813,Coca-Cola,1,2
Q19799634,model of calculator,Q2813,Coca-Cola,0,2
Q59185742,Craft soda,Q2813,Coca-Cola,1,2
Q937783,Coca-Cola Zero,Q2813,Coca-Cola,1,2
Q1104949,Coca Colla,Q2813,Coca-Cola,1,2
Q20888692,camera brand,Q2813,Coca-Cola,0,2
Q5759783,Highway,Q2813,Coca-Cola,1,2
Q5873161,refreshing drink,Q2813,Coca-Cola,1,2
Q1815345,Diet Coke,Q2813,Coca-Cola,1,3
Q28127283,Coca-Cola Zero Sugar,Q2813,Coca-Cola,1,3
Q15825863,light rail vehicle,Q3407658,tram,1,1
Q752870,motor vehicle,Q3407658,tram,1,1
Q208502,railroad car,Q3407658,tram,1,1
Q1562213,freight tram,Q3407658,tram,1,1
Q1414135,rolling stock,Q3407658,tram,1,1
Q5063597,low-floor tram,Q3407658,tram,1,1
Q891723,public company,Q1636958,Xiaomi,1,1
Q4830453,business,Q1636958,Xiaomi,1,1
Q167037,corporation,Q1636958,Xiaomi,1,1
Q1057214,private military company,Q1636958,Xiaomi,0,2
Q161726,multinational corporation,Q1636958,Xiaomi,1,2
Q27043907,yoga studio,Q1636958,Xiaomi,0,2
Q7311343,religious corporation,Q1636958,Xiaomi,0,2
Q672070,photographic studio,Q1636958,Xiaomi,0,2
Q3537883,Transporteur routier,Q1636958,Xiaomi,0,2
Q8303885,trust company,Q1636958,Xiaomi,0,2
Q41617857,plug compatible manufacturer,Q1636958,Xiaomi,0,2
Q745829,Yagi-Uda antenna,Q1636958,Xiaomi,0,2
Q216931,advertising agency,Q1636958,Xiaomi,0,2
Q6819536,merit shop,Q1636958,Xiaomi,0,2
Q27038993,food establishment,Q1636958,Xiaomi,0,2
Q2590801,commercial cleaning,Q1636958,Xiaomi,0,2
Q5225895,public limited company,Q1636958,Xiaomi,0,2
Q1186164,corporate spin-off,Q1636958,Xiaomi,0,2
Q2401749,telecommunication company,Q1636958,Xiaomi,1,2
Q59545,labour hire,Q1636958,Xiaomi,0,2
Q3055260,French company,Q1636958,Xiaomi,0,2
Q30022,coffeehouse,Q1636958,Xiaomi,0,2
Q1116826,private security company,Q1636958,Xiaomi,0,2
Q1063560,chocolate truffle,Q195,chocolate,1,1
Q5159627,confection,Q195,chocolate,1,1
Q25403900,food ingredient,Q195,chocolate,1,1
Q23461185,organic chocolate,Q195,chocolate,1,1
Q757388,Milka,Q195,chocolate,1,1
Q181042,Kinder Surprise,Q195,chocolate,1,1
Q2596997,condiment,Q195,chocolate,1,1
Q1365365,stimulant foodstuff,Q195,chocolate,1,1
Q752276,functional food,Q195,chocolate,1,1
Q895177,bouquet garni,Q195,chocolate,0,2
Q13261,hot chocolate,Q195,chocolate,1,2
Q10987,honey,Q195,chocolate,0,2
Q167893,mayonnaise,Q195,chocolate,0,2
Q41354,vinegar,Q195,chocolate,0,2
Q18547489,Thasian sauce,Q195,chocolate,0,2
Q8366,algorithm,Q8548,Dijkstra's algorithm,1,1
Q30503704,graph algorithm,Q8548,Dijkstra's algorithm,1,1
Q504353,greedy algorithm,Q8548,Dijkstra's algorithm,1,1
Q21595855,pathfinding algorithm,Q8548,Dijkstra's algorithm,1,1
Q179613,flooding algorithm,Q8548,Dijkstra's algorithm,0,2
Q11660,artificial intelligence,Q8548,Dijkstra's algorithm,1,2
Q4443425,uninformed search algorithm,Q8548,Dijkstra's algorithm,1,2
Q249556,railway company,Q13646,SNCF,1,1
Q2324835,national railway,Q13646,SNCF,1,1
Q23043008,Krasnoliman Directorate of Railway Transportation,Q13646,SNCF,1,2
Q36784,region of France,Q12130,Brittany,1,1
Q3502482,cultural region,Q12130,Brittany,1,1
Q42261736,cultural areas of indigenous North Americans,Q12130,Brittany,0,2
Q28332,overseas region,Q12130,Brittany,0,2
Q20719642,current region of France,Q12130,Brittany,1,2
Q1368898,game of skill,Q14922,table football,1,1
Q1342518,Penny football,Q14922,table football,1,2
Q895060,boules,Q14922,table football,0,2
Q21426954,bague en boghei,Q14922,table football,0,2
Q21503645,lancer de sabot de Pont-Aven,Q14922,table football,0,2
Q1302771,Egg-and-spoon race,Q14922,table football,0,2
Q1637219,speedcubing,Q14922,table football,0,2
Q2904494,birinic,Q14922,table football,0,2
Q7094076,online database,Q118398,arXiv,1,1
Q5281480,disciplinary repository,Q118398,arXiv,1,1
Q45787211,preprint server,Q118398,arXiv,1,1
Q35127,website,Q118398,arXiv,1,1
Q52990223,open science tool,Q118398,arXiv,1,1
Q21606686,scientific website,Q118398,arXiv,1,2
Q33270324,genealogy website,Q118398,arXiv,0,2
Q16001076,3D printing marketplace,Q118398,arXiv,0,2
Q16002093,video aggregator,Q118398,arXiv,0,2
Q1350108,fansite,Q118398,arXiv,0,2
Q6542714,library website,Q118398,arXiv,1,2
Q1294318,online book,Q118398,arXiv,0,2
Q213369,webcomic,Q118398,arXiv,0,2
Q47913,intelligence agency,Q335827,Directorate-General for External Security,1,1
Q7889,video game,Q244030,Diablo III,1,1
Q4485157,PC game,Q244030,Diablo III,1,2
Q54767,puzzle video game,Q244030,Diablo III,0,2
Q6895044,multiplayer video game,Q244030,Diablo III,1,2
Q6561427,console game,Q244030,Diablo III,1,2
Q3244038,public establishment of an administrative nature,Q392500,Agence Nationale de la Recherche,1,1
Q3591561,public cultural cooperation establishment,Q392500,Agence Nationale de la Recherche,0,2
Q3006228,crédit municipal,Q392500,Agence Nationale de la Recherche,0,2
Q18706221,district,Q392500,Agence Nationale de la Recherche,0,2
Q423785,community of communes,Q392500,Agence Nationale de la Recherche,0,2
Q51704864,national public establishment of an administrative nature,Q392500,Agence Nationale de la Recherche,1,2
Q2826708,Agence régionale de santé,Q392500,Agence Nationale de la Recherche,0,2
Q3412210,pôle métropolitain,Q392500,Agence Nationale de la Recherche,0,2
Q423790,urban community,Q392500,Agence Nationale de la Recherche,0,2
Q20089159,pôle d'équilibre territorial et rural,Q392500,Agence Nationale de la Recherche,0,2
Q185698,methodology,Q1437394,formal concept analysis,1,1
Q21045430,inferring horizontal gene transfer,Q1437394,formal concept analysis,0,2
Q1193625,social science methodology,Q1437394,formal concept analysis,0,2
Q1196545,historical method,Q1437394,formal concept analysis,0,2
Q2670999,investment strategy,Q1437394,formal concept analysis,0,2
Q2292993,design method,Q1437394,formal concept analysis,0,2
Q1378470,software development methodology,Q1437394,formal concept analysis,0,2
Q179012,project management,Q1437394,formal concept analysis,0,2
Q10990,meat,Q864693,chicken meat,1,1
Q56311389,Poulet des Cévennes,Q864693,chicken meat,1,1
Q18087876,poultry,Q864693,chicken meat,1,1
Q542042,duck meat,Q864693,chicken meat,1,2
Q4200953,turkey meat,Q864693,chicken meat,1,2
Q14473756,poussin,Q864693,chicken meat,1,2
Q5752993,donkey meat,Q864693,chicken meat,0,2
Q5398426,television series,Q8539,The Big Bang Theory,1,1
Q484170,commune of France,Q171545,Belfort,1,1
Q7889,video game,Q1139866,Dofus,1,1
Q55588631,Pokémon video game,Q1139866,Dofus,0,2
Q54767,puzzle video game,Q1139866,Dofus,0,2
Q4485157,PC game,Q1139866,Dofus,1,2
Q16021388,alien video game,Q1139866,Dofus,0,2
Q958821,LucasArts adventure games,Q1139866,Dofus,0,2
Q7927920,video games in education,Q1139866,Dofus,0,2
Q14411698,romance game,Q1139866,Dofus,0,2
Q28004621,SMS TV game,Q1139866,Dofus,0,2
Q116634,online game,Q1139866,Dofus,1,2
Q6895044,multiplayer video game,Q1139866,Dofus,1,2
Q1466699,partie de littoral,Q900647,Côte d'Opale,1,1
Q6881511,enterprise,Q223127,Logitech,1,1
Q431289,brand,Q223127,Logitech,1,1
Q891723,public company,Q223127,Logitech,1,1
Q4830453,business,Q223127,Logitech,1,1
Q18388277,technology company,Q223127,Logitech,1,1
Q1058914,software company,Q223127,Logitech,1,2
Q13637823,Independent hardware vendor,Q223127,Logitech,1,2
Q928830,metro station,Q508256,Bastille,1,1
Q11670533,elevated station,Q508256,Bastille,1,1
Q22808403,station located underground,Q508256,Bastille,1,1
Q17119191,ripped jeans,Q83363,jeans,1,1
Q3237209,Levi's 501,Q83363,jeans,1,1
Q39908,trousers,Q83363,jeans,1,1
Q3377759,Wide leg jeans,Q83363,jeans,1,1
Q618998,skinny jeans,Q83363,jeans,1,2
Q7133943,parachute pants,Q83363,jeans,0,2
Q1074407,chinos,Q83363,jeans,1,2
Q18088270,dress trousers,Q83363,jeans,1,2
Q3530132,tobi trousers,Q83363,jeans,1,2
Q15133790,culottes,Q83363,jeans,0,2
Q483242,laboratory,Q30299483,Inria Nancy - Grand-Est research centre,1,1
Q7315155,research center,Q30299483,Inria Nancy - Grand-Est research centre,1,1
Q13226383,facility,Q30299483,Inria Nancy - Grand-Est research centre,1,1
Q47519912,bicycle repair station,Q30299483,Inria Nancy - Grand-Est research centre,0,2
Q57951700,research site,Q30299483,Inria Nancy - Grand-Est research centre,1,2
Q57504458,port infrastructure,Q30299483,Inria Nancy - Grand-Est research centre,0,2
Q47524436,swimming area,Q30299483,Inria Nancy - Grand-Est research centre,0,2
Q11560645,waste management facility,Q30299483,Inria Nancy - Grand-Est research centre,0,2
Q7802,bread,Q548319,kouign-amann,1,1
Q13276,cake,Q548319,kouign-amann,1,1
Q196600,media franchise,Q462,Star Wars,1,1
Q19786787,Archduke of Geonosis,Q462,Star Wars,1,1
Q431289,brand,Q462,Star Wars,1,1
Q181247,woodwind instrument,Q9798,saxophone,1,1
Q55738874,single clarinets with conical bore,Q9798,saxophone,1,1
Q570116,tourist attraction,Q159144,Europa-Park,1,1
Q875157,resort,Q159144,Europa-Park,1,1
Q194195,amusement park,Q159144,Europa-Park,1,1
Q586034,Fiber to the x,Q1200183,Fiber to the home,1,1
Q121359,infrastructure,Q1200183,Fiber to the home,1,1
Q7257917,Public infrastructure,Q1200183,Fiber to the home,1,2
Q1817119,ICT infrastructure,Q1200183,Fiber to the home,0,2
Q1438053,research infrastructure,Q1200183,Fiber to the home,0,2
Q15411548,computing infrastructure,Q1200183,Fiber to the home,0,2
Q3456887,logistic network,Q1200183,Fiber to the home,0,2
Q594593,IT infrastructure,Q1200183,Fiber to the home,1,2
Q10677200,municipal broadband,Q1200183,Fiber to the home,0,2
Q1144084,utility pole,Q1200183,Fiber to the home,0,2
Q891723,public company,Q95,Google,1,1
Q4830453,business,Q95,Google,1,1
Q18388277,technology company,Q95,Google,1,1
Q1058914,software company,Q95,Google,1,2
Q13637823,Independent hardware vendor,Q95,Google,1,2
Q11862829,academic discipline,Q131476,graph theory,1,1
Q4671286,academic major,Q131476,graph theory,1,1
Q4115842,topological graph theory,Q131476,graph theory,1,1
Q18205998,circuit topology,Q131476,graph theory,1,1
Q1503271,geometric graph theory,Q131476,graph theory,1,1
Q4417999,network analysis,Q131476,graph theory,1,1
Q3180727,spectral graph theory,Q131476,graph theory,1,1
Q1936384,area of mathematics,Q131476,graph theory,1,1
Q381009,chemical graph theory,Q131476,graph theory,1,1
Q17737,theory,Q131476,graph theory,1,1
Q5004188,bypass,Q131476,graph theory,0,2
Q20026918,mathematical theory,Q131476,graph theory,1,2
Q5416712,Event chain methodology,Q131476,graph theory,0,2
Q2166013,wiki hosting service,Q180,Wikimedia Foundation,1,1
Q708676,charitable organization,Q180,Wikimedia Foundation,1,1
Q157031,foundation,Q180,Wikimedia Foundation,1,1
Q13582798,Public Scientific and Technical Research Establishment,Q1146208,Institut National de Recherche en Informatique et en Automatique,1,1
Q1132455,hazard,Q2551422,Water damage,1,1
Q481609,damage,Q2551422,Water damage,1,1
Q3433179,natural risk,Q2551422,Water damage,1,2
Q152749,radiation damage,Q2551422,Water damage,0,2
Q19914521,ground damage,Q2551422,Water damage,0,2
Q2425052,electrical appliance,Q174320,oscilloscope,1,1
Q2041172,measuring instrument,Q174320,oscilloscope,1,1
Q831990,electrical part,Q174320,oscilloscope,0,2
